[GRAIN-DEBUG] useTexture: 1 | textureName: acuarela_aguada.sut.1.layer.png | grainTextureID(settings): 158 | grainTexID(loaded): 158 | hasGrain: 1 | textureIntensity: 0.54 | textureScale: 15 | grainBright: 75 | grainCon: -70 | invertGrain: 1
[GRAIN-DEBUG] useTexture: 1 | textureName: acuarela_aguada.sut.1.layer.png | grainTextureID(settings): 185 | grainTexID(loaded): 185 | hasGrain: 1 | textureIntensity: 0.54 | textureScale: 15 | grainBright: 75 | grainCon: -70 | invertGrain: 1
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
[GRAIN-DEBUG] useTexture: 0 | textureName:  | grainTextureID(settings): 0 | grainTexID(loaded): 0 | hasGrain: 0 | textureIntensity: 0.5 | textureScale: 100 | grainBright: 0 | grainCon: 1 | invertGrain: 0
